[WreckArea]
P 4121.4080|1184.6410
P 4161.1060|973.0313
P 4429.2900|996.6634
P 4594.3580|1084.8130
P 4475.0530|1472.9170
P 4323.8830|1589.6630
P 4053.6750|1595.5100
P 4062.8920|1427.9230
P 4152.6480|1366.7950
P 4290.5350|1330.4410
P 4251.3340|1290.0170

[WreckArea]
P 4046.5740|1041.2990
P 4044.3400|981.0912
P 4148.8330|914.9769
P 4245.4130|931.5408
P 4390.2510|853.0366
P 4507.4680|909.6453
P 4599.2800|1015.8990
P 4629.0680|1203.0710
P 4605.8570|1321.9480
P 4564.6350|1446.5460
P 4430.1880|1419.9470
P 4262.5160|1477.9630
P 4206.2090|1563.9740
P 4168.7200|1547.4870
P 4078.5650|1542.4030
P 4023.9110|1548.8770
P 3968.3670|1448.4290
P 4020.8980|1288.5720
AutomaticPointOrder
Visible

